id;start_date;end_date;language
1;2019-10-23T04:48:20;2019-10-22T21:56:37;FRENCH
2;2019-10-23T06:18:26;2019-10-22T15:24:36;SPANISH
3;2019-10-23T01:50:30;2019-10-22T17:14:30;ENGLISH
4;2019-10-22T15:02:22;2019-10-22T22:29:23;FRENCH
5;2019-10-23T00:01:01;2019-10-23T04:45:09;ENGLISH
6;2019-10-23T06:18:01;2019-10-23T07:34:57;SPANISH
7;2019-10-22T15:40:21;2019-10-23T04:21:08;ENGLISH
8;2019-10-22T13:11:40;2019-10-22T21:11:49;ENGLISH
9;2019-10-22T22:59:46;2019-10-23T07:24:24;FRENCH
10;2019-10-23T02:17:55;2019-10-22T23:34:10;ENGLISH
